respondent_id,socionics_school,typing_method,typed_type
1,Школа Візуальної Соціоніки,Метод 1,INTJ
2,Школа Поведінкової Соціоніки,Метод 2,ENFP
3,Школа Когнітивної Соціоніки,Метод 3,ISTP
4,Школа Візуальної Соціоніки,Метод 4,ESFJ
5,Школа Аналітичної Соціоніки,Метод 5,ENTJ
6,Школа Емоційної Соціоніки,Метод 6,INTP
7,Школа Соціальної Соціоніки,Метод 7,ENFJ
8,Школа Комунікаційної Соціоніки,Метод 8,ISTJ
9,Школа Технологічної Соціоніки,Метод 9,ESFP
10,Школа Стратегічної Соціоніки,Метод 10,ENTP
11,Школа Творчої Соціоніки,Метод 11,INFJ
12,Школа Аналітично-інтуїтивної Соціоніки,Метод 12,INTJ
13,Школа Відносинної Соціоніки,Метод 13,ISFP
14,Школа Автентичної Соціоніки,Метод 14,ESTJ
15,Школа Візуальної Соціоніки,Метод 15,INFJ
16,Школа Поведінкової Соціоніки,Метод 16,ENFP
17,Школа Когнітивної Соціоніки,Метод 17,ISTP
18,Школа Візуальної Соціоніки,Метод 18,ESFJ
19,Школа Аналітичної Соціоніки,Метод 19,ENTJ
20,Школа Емоційної Соціоніки,Метод 20,INTP
21,Школа Соціальної Соціоніки,Метод 21,ENFJ
22,Школа Комунікаційної Соціоніки,Метод 22,ISTJ
23,Школа Технологічної Соціоніки,Метод 23,ESFP
24,Школа Стратегічної Соціоніки,Метод 24,ENTP
25,Школа Творчої Соціоніки,Метод 25,INFJ
26,Школа Аналітично-інтуїтивної Соціоніки,Метод 26,INTJ
27,Школа Відносинної Соціоніки,Метод 27,ISFP
28,Школа Автентичної Соціоніки,Метод 28,ESTJ
29,Школа Візуальної Соціоніки,Метод 29,INFJ
30,Школа Поведінкової Соціоніки,Метод 30,ENFP
31,Школа Когнітивної Соціоніки,Метод 31,ISTP
32,Школа Візуальної Соціоніки,Метод 32,ESFJ
33,Школа Аналітичної Соціоніки,Метод 33,ENTJ
34,Школа Емоційної Соціоніки,Метод 34,INTP
35,Школа Соціальної Соціоніки,Метод 35,ENFJ
36,Школа Комунікаційної Соціоніки,Метод 36,ISTJ
37,Школа Технологічної Соціоніки,Метод 37,ESFP
38,Школа Стратегічної Соціоніки,Метод 38,ENTP
39,Школа Творчої Соціоніки,Метод 39,INFJ
40,Школа Аналітично-інтуїтивної Соціоніки,Метод 40,INTJ
41,Школа Відносинної Соціоніки,Метод 41,ISFP
42,Школа Автентичної Соціоніки,Метод 42,ESTJ
43,Школа Візуальної Соціоніки,Метод 43,INFJ
44,Школа Поведінкової Соціоніки,Метод 44,ENFP
45,Школа Когнітивної Соціоніки,Метод 45,ISTP
46,Школа Візуальної Соціоніки,Метод 46,ESFJ
47,Школа Аналітичної Соціоніки,Метод 47,ENTJ
48,Школа Емоційної Соціоніки,Метод 48,INTP
49,Школа Соціальної Соціоніки,Метод 49,ENFJ
50,Школа Комунікаційної Соціоніки,Метод 50,ISTJ
51,Школа Технологічної Соціоніки,Метод 51,ESFP
52,Школа Стратегічної Соціоніки,Метод 52,ENTP
53,Школа Творчої Соціоніки,Метод 53,INFJ
54,Школа Аналітично-інтуїтивної Соціоніки,Метод 54,INTJ
55,Школа Відносинної Соціоніки,Метод 55,ISFP
56,Школа Автентичної Соціоніки,Метод 56,ESTJ
57,Школа Візуальної Соціоніки,Метод 57,INFJ
58,Школа Поведінкової Соціоніки,Метод 58,ENFP
59,Школа Когнітивної Соціоніки,Метод 59,ISTP
60,Школа Візуальної Соціоніки,Метод 60,ESFJ
61,Школа Аналітичної Соціоніки,Метод 61,ENTJ
62,Школа Емоційної Соціоніки,Метод 62,INTP
63,Школа Соціальної Соціоніки,Метод 63,ENFJ
64,Школа Комунікаційної Соціоніки,Метод 64,ISTJ
65,Школа Технологічної Соціоніки,Метод 65,ESFP
66,Школа Стратегічної Соціоніки,Метод 66,ENTP
67,Школа Творчої Соціоніки,Метод 67,INFJ
68,Школа Аналітично-інтуїтивної Соціоніки,Метод 68,INTJ
69,Школа Відносинної Соціоніки,Метод 69,ISFP
70,Школа Автентичної Соціоніки,Метод 70,ESTJ
71,Школа Візуальної Соціоніки,Метод 71,INFJ
72,Школа Поведінкової Соціоніки,Метод 72,ENFP
73,Школа Когнітивної Соціоніки,Метод 73,ISTP
74,Школа Візуальної Соціоніки,Метод 74,ESFJ
75,Школа Аналітичної Соціоніки,Метод 75,ENTJ
76,Школа Емоційної Соціоніки,Метод 76,INTP
77,Школа Соціальної Соціоніки,Метод 77,ENFJ
78,Школа Комунікаційної Соціоніки,Метод 78,ISTJ
79,Школа Технологічної Соціоніки,Метод 79,ESFP
80,Школа Стратегічної Соціоніки,Метод 80,ENTP
81,Школа Творчої Соціоніки,Метод 81,INFJ
82,Школа Аналітично-інтуїтивної Соціоніки,Метод 82,INTJ
83,Школа Відносинної Соціоніки,Метод 83,ISFP
84,Школа Автентичної Соціоніки,Метод 84,ESTJ
85,Школа Візуальної Соціоніки,Метод 85,INFJ
86,Школа Поведінкової Соціоніки,Метод 86,ENFP
87,Школа Когнітивної Соціоніки,Метод 87,ISTP
88,Школа Візуальної Соціоніки,Метод 88,ESFJ
89,Школа Аналітичної Соціоніки,Метод 89,ENTJ
90,Школа Емоційної Соціоніки,Метод 90,INTP
91,Школа Соціальної Соціоніки,Метод 91,ENFJ
92,Школа Комунікаційної Соціоніки,Метод 92,ISTJ
93,Школа Технологічної Соціоніки,Метод 93,ESFP
94,Школа Стратегічної Соціоніки,Метод 94,ENTP
95,Школа Творчої Соціоніки,Метод 95,INFJ
96,Школа Аналітично-інтуїтивної Соціоніки,Метод 96,INTJ
97,Школа Відносинної Соціоніки,Метод 97,ISFP
98,Школа Автентичної Соціоніки,Метод 98,ESTJ
99,Школа Візуальної Соціоніки,Метод 99,INFJ
100,Школа Поведінкової Соціоніки,Метод 100,ENFP
